Location,Tv,Air_conditioner,Refrigerator,Water_heater,Modern_Wardrobe,Back_up_power_supply,Gym,Elevator,Modernized_bathrooms,Room size,Number of people in a room,Historical pricing data,Current Price
Tech junction,No,No,No,No,Yes,Yes,Yes,Yes,Yes,1,1,6610,8593.0
Kotei,No,Yes,No,No,Yes,Yes,No,Yes,Yes,3,3,4110,5754.0
Boadi,No,Yes,No,No,No,No,No,No,No,1,1,6100,7930.0
Atonsu,No,No,No,Yes,Yes,No,Yes,No,Yes,4,4,2820,3666.0
Ayeduase,Yes,Yes,No,No,No,No,Yes,No,Yes,3,3,3920,5880.0
Bomsu,No,No,No,Yes,Yes,No,No,Yes,No,3,3,3800,4180.0
Tech junction,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2,2,4850,6305.0
Bomsu,Yes,Yes,No,No,No,Yes,Yes,Yes,No,1,1,6650,7315.000000000001
Bomsu,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3470,3817.0000000000005
Ayeduase,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,2,4630,6945.0
Bomsu,No,Yes,No,No,Yes,No,Yes,Yes,Yes,1,1,6560,7216.000000000001
Bomsu,Yes,Yes,No,No,No,No,No,No,No,1,1,6200,6820.000000000001
Newsite,Yes,No,Yes,No,No,Yes,No,No,No,1,1,6350,6985.000000000001
Newsite,No,Yes,Yes,No,No,No,Yes,Yes,No,3,3,4000,4400.0
Campus,Yes,Yes,No,No,Yes,No,No,Yes,No,3,3,3940,6304.0
Campus,Yes,Yes,No,Yes,No,No,No,No,Yes,1,1,6380,10208.0
Boadi,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2,2,4650,6045.0
Boadi,Yes,Yes,Yes,No,No,No,Yes,Yes,No,4,4,3100,4030.0
Ayeduase,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,3,3,4180,6270.0
Boadi,Yes,Yes,Yes,No,No,No,Yes,No,No,1,1,6400,8320.0
Atonsu,Yes,No,Yes,Yes,No,Yes,No,No,Yes,3,3,4030,5239.0
Ayeduase,Yes,No,No,Yes,Yes,No,No,Yes,Yes,4,4,3020,4530.0
Newsite,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,3,3,4050,4455.0
Ayeduase,No,Yes,No,No,Yes,Yes,Yes,Yes,No,4,4,3090,4635.0
Boadi,No,No,Yes,Yes,No,No,No,No,Yes,4,4,2780,3614.0
Tech junction,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,4,4,3270,4251.0
Kotei,Yes,No,Yes,No,Yes,No,Yes,No,No,1,1,6340,8876.0
Atonsu,No,No,No,Yes,Yes,Yes,No,Yes,Yes,2,2,4570,5941.0
Boadi,Yes,No,No,No,Yes,No,Yes,No,No,4,4,2740,3562.0
Kotei,No,No,Yes,No,Yes,No,Yes,Yes,Yes,2,2,4560,6384.0
Atonsu,Yes,No,No,No,No,No,No,Yes,No,4,4,2800,3640.0
Kotei,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,1,6550,9170.0
Bomsu,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,4,4,3330,3663.0000000000005
Boadi,No,Yes,No,Yes,Yes,No,Yes,No,No,1,1,6300,8190.0
Bomsu,No,No,Yes,Yes,No,No,Yes,Yes,Yes,3,3,4080,4488.0
Newsite,No,Yes,No,No,No,No,No,No,Yes,2,2,4220,4642.0
Campus,No,Yes,Yes,No,Yes,Yes,No,No,No,1,1,6390,10224.0
Boadi,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,3,3,4190,5447.0
Boadi,Yes,No,Yes,No,Yes,Yes,Yes,No,No,4,4,2990,3887.0
Newsite,Yes,Yes,Yes,No,No,No,Yes,No,Yes,1,1,6520,7172.000000000001
Boadi,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1,1,6620,8606.0
Boadi,Yes,Yes,No,No,No,Yes,No,Yes,Yes,2,2,4670,6071.0
Tech junction,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,4,4,3090,4017.0
Kotei,Yes,Yes,Yes,Yes,No,No,No,No,No,1,1,6360,8904.0
Kotei,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3370,4718.0
Atonsu,Yes,Yes,No,Yes,Yes,Yes,No,No,No,3,3,3950,5135.0
Ayeduase,No,Yes,Yes,Yes,No,No,No,No,No,2,2,4260,6390.0
Tech junction,Yes,No,No,Yes,No,No,Yes,Yes,Yes,3,3,4080,5304.0
Kotei,No,No,No,Yes,No,Yes,No,No,Yes,2,2,4330,6062.0
Kotei,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,1,1,6520,9128.0
Boadi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,4150,5395.0
Boadi,Yes,Yes,Yes,No,No,No,No,Yes,No,3,3,4000,5200.0
Newsite,Yes,Yes,Yes,No,No,No,No,No,Yes,3,3,3920,4312.0
Kotei,No,Yes,No,No,No,No,Yes,Yes,No,3,3,3900,5460.0
Campus,No,Yes,No,Yes,Yes,No,Yes,No,No,2,2,4300,6880.0
Atonsu,No,No,Yes,Yes,No,Yes,No,Yes,Yes,1,1,6630,8619.0
Atonsu,No,Yes,No,No,No,Yes,No,Yes,Yes,4,4,3070,3991.0
Ayeduase,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1,1,6870,10305.0
Campus,Yes,Yes,No,No,No,No,Yes,No,Yes,3,3,3920,6272.0
Atonsu,Yes,Yes,No,No,Yes,Yes,No,Yes,No,2,2,4590,5967.0
Newsite,No,No,Yes,No,No,Yes,No,No,No,3,3,3750,4125.0
Kotei,Yes,No,No,Yes,No,Yes,Yes,No,Yes,2,2,4530,6342.0
Boadi,No,Yes,Yes,No,Yes,Yes,No,No,Yes,1,1,6510,8463.0
Ayeduase,No,No,Yes,No,No,Yes,No,No,No,2,2,4250,6375.0
Campus,No,No,No,Yes,No,Yes,Yes,No,No,4,4,2810,4496.0
Kotei,Yes,Yes,No,No,Yes,No,No,No,Yes,1,1,6360,8904.0
Ayeduase,Yes,No,No,No,Yes,Yes,No,Yes,Yes,1,1,6610,9915.0
Ayeduase,Yes,Yes,Yes,No,No,No,Yes,No,Yes,3,3,4020,6030.0
Ayeduase,No,No,No,Yes,Yes,Yes,Yes,No,No,3,3,3850,5775.0
Kotei,No,No,Yes,No,Yes,No,Yes,Yes,Yes,2,2,4560,6384.0
Boadi,No,Yes,No,No,No,No,Yes,No,Yes,1,1,6320,8216.0
Boadi,Yes,No,No,No,No,Yes,Yes,No,Yes,3,3,3970,5161.0
Campus,No,No,Yes,No,Yes,No,No,No,No,1,1,6140,9824.0
Atonsu,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,3,3,4110,5343.0
Campus,No,Yes,Yes,No,Yes,No,No,No,Yes,3,3,3860,6176.0
Atonsu,Yes,Yes,No,Yes,No,Yes,Yes,No,No,3,3,4010,5213.0
Atonsu,No,No,No,No,Yes,Yes,No,Yes,Yes,2,2,4510,5863.0
Boadi,No,Yes,Yes,No,No,Yes,No,No,No,3,3,3850,5005.0
Campus,No,No,Yes,No,No,Yes,No,No,No,1,1,6250,10000.0
Tech junction,Yes,No,Yes,Yes,No,Yes,No,No,Yes,1,1,6530,8489.0
Newsite,No,No,No,No,No,Yes,No,No,No,2,2,4150,4565.0
Boadi,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,4,3130,4069.0
Ayeduase,Yes,No,Yes,Yes,Yes,No,No,Yes,No,1,1,6500,9750.0
Campus,Yes,No,No,Yes,No,No,Yes,Yes,Yes,2,2,4580,7328.0
Campus,No,No,Yes,No,Yes,Yes,Yes,No,No,2,2,4390,7024.0
Tech junction,Yes,No,Yes,No,Yes,Yes,No,No,Yes,1,1,6510,8463.0
Ayeduase,Yes,No,No,Yes,Yes,No,No,Yes,Yes,3,3,4020,6030.0
Atonsu,Yes,Yes,No,No,No,Yes,Yes,No,Yes,1,1,6570,8541.0
Kotei,No,Yes,Yes,No,No,Yes,No,No,Yes,4,4,2970,4158.0
Tech junction,Yes,No,No,No,Yes,Yes,Yes,No,No,4,4,2890,3757.0
Tech junction,No,Yes,No,Yes,Yes,No,Yes,No,Yes,1,1,6420,8346.0
Newsite,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,4,4,3270,3597.0000000000005
Boadi,No,Yes,No,No,No,No,Yes,No,Yes,2,2,4320,5616.0
Boadi,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,3,3,4230,5499.0
Atonsu,Yes,No,Yes,Yes,Yes,No,Yes,No,No,4,4,2900,3770.0
Tech junction,Yes,No,No,No,No,Yes,Yes,Yes,Yes,1,1,6670,8671.0
Bomsu,No,No,Yes,No,No,No,No,No,Yes,1,1,6220,6842.000000000001
Tech junction,Yes,No,Yes,No,No,No,No,No,Yes,2,2,4320,5616.0
Bomsu,No,Yes,Yes,Yes,No,No,No,Yes,Yes,1,1,6580,7238.000000000001
Bomsu,No,No,Yes,No,No,Yes,Yes,Yes,No,3,3,4050,4455.0
Kotei,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,4,4,3220,4508.0
Boadi,No,No,No,Yes,Yes,No,No,No,Yes,2,2,4220,5486.0
Newsite,Yes,No,No,Yes,No,Yes,No,Yes,No,3,3,4010,4411.0
Atonsu,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,3,3,4330,5629.0
Bomsu,Yes,No,No,No,No,No,No,No,Yes,4,4,2720,2992.0000000000005
Ayeduase,Yes,Yes,No,Yes,No,No,Yes,Yes,No,3,3,4060,6090.0
Kotei,Yes,Yes,Yes,No,Yes,No,No,No,No,3,3,3840,5376.0
Kotei,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,3,3,4020,5628.0
Tech junction,Yes,No,Yes,Yes,No,Yes,No,No,Yes,3,3,4030,5239.0
Bomsu,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,4,4,3180,3498.0000000000005
Kotei,No,No,No,No,Yes,No,Yes,No,Yes,1,1,6260,8764.0
Tech junction,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,2,2,4710,6123.0
Tech junction,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,1,6710,8723.0
Atonsu,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,1,1,6760,8788.0
Bomsu,No,Yes,No,Yes,No,Yes,Yes,No,Yes,3,3,4030,4433.0
Boadi,No,No,No,No,Yes,Yes,No,No,No,4,4,2690,3497.0
Boadi,No,Yes,Yes,No,No,No,Yes,Yes,Yes,3,3,4120,5356.0
Ayeduase,No,Yes,Yes,No,No,Yes,No,Yes,No,4,4,3050,4575.0
Newsite,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2,2,4710,5181.0
Bomsu,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,3,3,4210,4631.0
Ayeduase,No,No,Yes,No,Yes,Yes,No,No,Yes,4,4,2910,4365.0
Ayeduase,No,Yes,No,No,Yes,No,No,Yes,No,1,1,6340,9510.0
Kotei,No,No,Yes,Yes,Yes,Yes,Yes,No,No,3,3,3950,5530.0
Newsite,No,No,Yes,No,Yes,No,Yes,Yes,No,2,2,4440,4884.0
Bomsu,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,1,6550,7205.000000000001
Boadi,No,No,No,Yes,No,Yes,Yes,Yes,No,1,1,6510,8463.0
Tech junction,No,No,No,Yes,Yes,Yes,No,No,Yes,3,3,3870,5031.0
Boadi,Yes,No,No,Yes,No,No,Yes,No,Yes,2,2,4380,5694.0
Bomsu,Yes,No,No,No,Yes,No,Yes,Yes,Yes,2,2,4560,5016.0
Ayeduase,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,4,4,3100,4650.0
Tech junction,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,2,4770,6201.0
Campus,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,2,2,4590,7344.0
Newsite,No,Yes,Yes,Yes,No,No,No,No,No,1,1,6260,6886.000000000001
Bomsu,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4,4,3070,3377.0000000000005
Tech junction,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,3,3,4100,5330.0
Kotei,No,No,No,No,No,No,Yes,No,Yes,2,2,4220,5908.0
Campus,No,Yes,No,No,Yes,Yes,No,Yes,No,1,1,6490,10384.0
Kotei,No,No,No,No,Yes,No,Yes,No,Yes,2,2,4260,5964.0
Kotei,Yes,Yes,No,Yes,No,Yes,No,Yes,No,2,2,4610,6454.0
Campus,No,Yes,Yes,No,No,Yes,No,Yes,Yes,2,2,4670,7472.0
Ayeduase,Yes,Yes,No,No,No,No,No,Yes,No,3,3,3900,5850.0
Campus,No,Yes,No,No,Yes,No,Yes,Yes,Yes,3,3,4060,6496.0
Ayeduase,Yes,No,Yes,No,Yes,Yes,No,No,No,2,2,4390,6585.0
Boadi,No,No,No,No,Yes,No,No,Yes,Yes,3,3,3860,5018.0
Campus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,3,4470,7152.0
Bomsu,Yes,No,No,Yes,Yes,No,Yes,No,Yes,1,1,6420,7062.000000000001
Bomsu,Yes,No,No,No,No,No,Yes,No,Yes,4,4,2820,3102.0000000000005
Atonsu,Yes,No,No,Yes,Yes,Yes,No,No,Yes,3,3,3970,5161.0
Campus,Yes,No,Yes,No,Yes,Yes,No,No,Yes,2,2,4510,7216.0
Ayeduase,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,3,3,4220,6330.0
Campus,Yes,No,Yes,Yes,No,No,Yes,No,No,1,1,6360,10176.0
Bomsu,Yes,No,Yes,No,No,No,No,No,No,3,3,3700,4070.0000000000005
Kotei,No,Yes,Yes,Yes,No,No,No,Yes,Yes,3,3,4080,5712.0
Bomsu,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,3,3,4050,4455.0
Newsite,Yes,No,No,No,No,Yes,Yes,No,Yes,3,3,3970,4367.0
Bomsu,No,No,Yes,No,Yes,No,No,No,Yes,4,4,2760,3036.0000000000005
Ayeduase,No,No,Yes,No,Yes,No,Yes,Yes,No,2,2,4440,6660.0
Bomsu,Yes,No,No,Yes,No,No,No,No,Yes,3,3,3780,4158.0
Bomsu,Yes,No,No,No,Yes,No,No,No,No,2,2,4140,4554.0
Atonsu,No,No,No,Yes,Yes,No,No,Yes,No,4,4,2800,3640.0
Boadi,No,Yes,No,No,No,No,No,No,No,2,2,4100,5330.0
Kotei,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4,4,3270,4578.0
Bomsu,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,3,3,4250,4675.0
Bomsu,No,Yes,Yes,Yes,Yes,No,Yes,No,No,3,3,3900,4290.0
Tech junction,Yes,Yes,No,No,Yes,Yes,No,No,Yes,3,3,4010,5213.0
Boadi,Yes,Yes,No,Yes,No,No,No,No,No,3,3,3760,4888.0
Boadi,No,Yes,No,Yes,Yes,No,No,Yes,No,4,4,2900,3770.0
Bomsu,Yes,Yes,No,Yes,No,No,No,Yes,Yes,1,1,6580,7238.000000000001
Campus,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,4,4,3210,5136.0
Kotei,No,Yes,Yes,No,Yes,No,No,Yes,Yes,2,2,4560,6384.0
Tech junction,No,No,Yes,Yes,No,Yes,No,Yes,Yes,1,1,6630,8619.0
Bomsu,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,4,4,3230,3553.0000000000005
Kotei,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3,3,4170,5838.0
Kotei,No,No,Yes,No,No,No,No,Yes,Yes,2,2,4420,6188.0
Ayeduase,Yes,No,No,No,No,Yes,Yes,Yes,No,1,1,6550,9825.0
Ayeduase,Yes,Yes,No,No,No,Yes,No,Yes,No,3,3,4050,6075.0
Newsite,No,Yes,No,No,No,Yes,Yes,Yes,Yes,4,4,3170,3487.0000000000005
Newsite,Yes,Yes,No,No,Yes,Yes,No,Yes,No,1,1,6590,7249.000000000001
Campus,Yes,No,No,Yes,No,No,Yes,No,No,4,4,2760,4416.0
Atonsu,Yes,Yes,No,No,No,Yes,No,Yes,Yes,3,3,4170,5421.0
Ayeduase,No,Yes,Yes,No,Yes,Yes,No,No,Yes,2,2,4510,6765.0
Tech junction,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1,1,6670,8671.0
Kotei,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1,1,6620,9268.0
